composition,game_id,agent_name,model_name,alignment,correct_votes,incorrect_votes,skipped_votes,emergency_meetings,bodies_reported,rounds_survived,eliminations,won_game,times_eliminated,ejections,num_moves,votes_received,sgd_score,svm_score,lr_score,api_input_tokens,api_output_tokens,timestamp
custom_game_20260224_120419,game_20260224_120419,Agent_8,Qwen/Qwen2.5-1.5B-Instruct,H,0,1,0,0,0,2,0,0,1,0,8,0,,,,,,2026-03-09 18:50:36
custom_game_20260224_120419,game_20260224_120419,Agent_9,Qwen/Qwen2.5-1.5B-Instruct,H,0,1,0,0,0,2,0,0,1,0,1,0,,,,,,2026-03-09 18:50:36
custom_navigator_test_002,navigator_test_002,Agent_0,navigator:llama-3.3-70b-instruct,B,1,0,0,0,0,0,1,1,0,0,2,0,0.6084502259558328,0.6990565399983677,0.4392647411733097,23034.0,114.0,2026-03-09 18:50:36
custom_navigator_test_002,navigator_test_002,Agent_1,navigator:gemma-3-27b-it,B,1,0,0,0,0,0,1,1,0,0,2,0,0.7567419707571081,0.9133810682694152,0.9407352359136842,19505.0,240.0,2026-03-09 18:50:36
custom_navigator_test_002,navigator_test_002,Agent_2,navigator:mistral-small-3.1,B,1,0,0,0,1,0,1,1,0,0,1,3,0.7201608888631208,0.805873154672757,0.7569625131074129,26472.0,385.0,2026-03-09 18:50:36
custom_navigator_test_002,navigator_test_002,Agent_3,navigator:llama-3.3-70b-instruct,H,0,0,0,0,0,0,0,0,1,0,3,0,,,,23034.0,114.0,2026-03-09 18:50:36
custom_navigator_test_002,navigator_test_002,Agent_4,navigator:gemma-3-27b-it,H,1,0,0,0,0,0,0,0,0,0,3,0,0.6303774770463597,0.6070731828442382,0.5938451874435393,19505.0,240.0,2026-03-09 18:50:36
custom_navigator_test_002,navigator_test_002,Agent_5,navigator:mistral-small-3.1,H,1,0,0,0,0,0,0,0,0,1,2,4,0.4409078024083381,0.2421801643829501,0.7619797756095303,26472.0,385.0,2026-03-09 18:50:36
custom_navigator_test_002,navigator_test_002,Agent_6,navigator:llama-3.3-70b-instruct,H,0,0,0,0,0,0,0,0,1,0,2,0,,,,23034.0,114.0,2026-03-09 18:50:36
custom_navigator_test_002,navigator_test_002,Agent_7,navigator:gemma-3-27b-it,H,0,0,0,0,0,0,0,0,1,0,2,0,,,,19505.0,240.0,2026-03-09 18:50:36
custom_navigator_test_002,navigator_test_002,Agent_8,navigator:mistral-small-3.1,H,1,0,0,0,0,0,0,0,0,0,3,0,0.3546119891758539,0.3516567202987168,0.368165445745655,26472.0,385.0,2026-03-09 18:50:36
custom_navigator_test_002,navigator_test_002,Agent_9,navigator:llama-3.3-70b-instruct,H,0,1,0,0,0,0,0,0,0,0,3,0,0.2382067066730646,0.1611956819697577,0.1765096548247764,23034.0,114.0,2026-03-09 18:50:36
custom_game_20260226_164756,game_20260226_164756,Agent_0,Qwen/Qwen2.5-1.5B-Instruct,B,0,0,0,0,0,1,2,1,0,0,3,0,,,,,,2026-03-09 18:50:36
custom_game_20260226_164756,game_20260226_164756,Agent_1,Qwen/Qwen2.5-1.5B-Instruct,H,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,2026-03-09 18:50:36
custom_game_20260226_164756,game_20260226_164756,Agent_2,Qwen/Qwen2.5-1.5B-Instruct,H,0,0,0,0,0,1,0,0,0,0,5,0,,,,,,2026-03-09 18:50:36
custom_game_20260226_164756,game_20260226_164756,Agent_3,Qwen/Qwen2.5-1.5B-Instruct,H,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,2026-03-09 18:50:36
custom_game_20260223_113613,game_20260223_113613,Agent_0,Qwen/Qwen2.5-1.5B-Instruct,B,0,0,0,0,0,9,1,0,0,0,22,0,,,,,,2026-03-09 18:50:36
custom_game_20260223_113613,game_20260223_113613,Agent_1,Qwen/Qwen2.5-1.5B-Instruct,H,0,0,0,0,0,9,0,1,0,0,0,0,,,,,,2026-03-09 18:50:36
custom_game_20260223_113613,game_20260223_113613,Agent_2,Qwen/Qwen2.5-1.5B-Instruct,H,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,2026-03-09 18:50:36
custom_game_20260223_113613,game_20260223_113613,Agent_3,Qwen/Qwen2.5-1.5B-Instruct,H,0,0,0,0,0,9,0,1,0,0,4,0,,,,,,2026-03-09 18:50:36
custom_game_20260223_113613,game_20260223_113613,Agent_4,Qwen/Qwen2.5-1.5B-Instruct,H,0,0,0,0,0,9,0,1,0,0,0,0,,,,,,2026-03-09 18:50:36
custom_official_test_007,official_test_007,Agent_0,Qwen/Qwen2.5-1.5B-Instruct,B,1,0,1,0,0,1,1,1,0,1,0,5,,,,,,2026-03-09 18:50:36
custom_official_test_007,official_test_007,Agent_1,Qwen/Qwen2.5-1.5B-Instruct,B,1,1,1,1,1,4,2,1,0,0,3,1,0.8143665847723662,0.9214523125895648,0.8749970895666512,,,2026-03-09 18:50:36
custom_official_test_007,official_test_007,Agent_2,Qwen/Qwen2.5-1.5B-Instruct,B,2,0,1,0,0,4,2,1,0,0,2,0,0.7960551697279648,0.825625178146332,0.7912959689141297,,,2026-03-09 18:50:36
custom_official_test_007,official_test_007,Agent_3,Qwen/Qwen2.5-1.5B-Instruct,H,1,2,0,0,0,4,0,0,0,0,1,1,0.8522658948223734,0.9229211206830352,0.9140182335079572,,,2026-03-09 18:50:36
custom_official_test_007,official_test_007,Agent_4,Qwen/Qwen2.5-1.5B-Instruct,H,1,2,0,0,0,4,0,0,0,1,2,2,0.6909767580087542,0.7053227408964873,0.6814485210455828,,,2026-03-09 18:50:36
custom_official_test_007,official_test_007,Agent_5,Qwen/Qwen2.5-1.5B-Instruct,H,0,0,1,0,0,0,0,0,0,1,0,9,,,,,,2026-03-09 18:50:36
custom_official_test_007,official_test_007,Agent_6,Qwen/Qwen2.5-1.5B-Instruct,H,0,2,0,0,0,3,0,0,1,0,2,0,,,,,,2026-03-09 18:50:36
custom_official_test_007,official_test_007,Agent_7,Qwen/Qwen2.5-1.5B-Instruct,H,1,1,0,1,0,2,0,0,1,0,1,1,,,,,,2026-03-09 18:50:36
custom_official_test_007,official_test_007,Agent_8,Qwen/Qwen2.5-1.5B-Instruct,H,2,1,0,0,0,4,0,0,0,0,2,0,0.5036469780063584,0.4658029060026532,0.4683985270459836,,,2026-03-09 18:50:36
custom_official_test_007,official_test_007,Agent_9,Qwen/Qwen2.5-1.5B-Instruct,H,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,2026-03-09 18:50:36
custom_official_test_007,official_test_007,Agent_10,Qwen/Qwen2.5-1.5B-Instruct,H,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,2026-03-09 18:50:36
custom_official_test_007,official_test_007,Agent_11,Qwen/Qwen2.5-1.5B-Instruct,H,0,1,0,0,0,1,0,0,1,0,1,0,,,,,,2026-03-09 18:50:36
custom_game_20260309_180043,game_20260309_180043,Agent_0,Qwen/Qwen2.5-1.5B-Instruct,B,0,0,1,0,0,1,2,1,0,0,2,0,0.6254712050241291,0.5426700798337223,0.6429930173393146,0.0,0.0,2026-03-09 18:50:36
custom_game_20260309_180043,game_20260309_180043,Agent_1,Qwen/Qwen2.5-1.5B-Instruct,B,0,1,0,0,0,1,0,1,0,0,2,0,0.615380751276032,0.6502956613613902,0.6224504887012805,0.0,0.0,2026-03-09 18:50:36
custom_game_20260309_180043,game_20260309_180043,Agent_2,Qwen/Qwen2.5-1.5B-Instruct,B,1,0,0,0,0,1,2,1,0,0,2,2,0.4422092952489128,0.4386246129983368,0.4532550502113729,0.0,0.0,2026-03-09 18:50:36
custom_game_20260309_180043,game_20260309_180043,Agent_3,Qwen/Qwen2.5-1.5B-Instruct,H,0,1,0,0,0,1,0,0,0,0,0,0,0.5319659886046042,0.6518049008632012,0.5518581655762187,0.0,0.0,2026-03-09 18:50:36
custom_game_20260309_180043,game_20260309_180043,Agent_4,Qwen/Qwen2.5-1.5B-Instruct,H,0,1,0,0,0,1,0,0,1,0,1,0,0.428686269248437,0.4490766502955727,0.4800833075492523,0.0,0.0,2026-03-09 18:50:36
custom_game_20260309_180043,game_20260309_180043,Agent_5,Qwen/Qwen2.5-1.5B-Instruct,H,0,0,0,0,0,0,0,0,1,0,0,0,,,,0.0,0.0,2026-03-09 18:50:36
custom_game_20260309_180043,game_20260309_180043,Agent_6,Qwen/Qwen2.5-1.5B-Instruct,H,1,0,0,1,0,0,0,0,0,1,0,5,0.793886247965584,0.8498559118835167,0.8373956374817482,0.0,0.0,2026-03-09 18:50:36
custom_game_20260309_180043,game_20260309_180043,Agent_7,Qwen/Qwen2.5-1.5B-Instruct,H,0,0,0,0,0,0,0,0,1,0,0,0,,,,0.0,0.0,2026-03-09 18:50:36
custom_game_20260309_180043,game_20260309_180043,Agent_8,Qwen/Qwen2.5-1.5B-Instruct,H,0,1,0,0,0,1,0,0,1,0,0,0,0.2587504871857539,0.0898801433552688,0.2210435051719719,0.0,0.0,2026-03-09 18:50:36
custom_game_20260309_180043,game_20260309_180043,Agent_9,Qwen/Qwen2.5-1.5B-Instruct,H,0,1,0,0,0,1,0,0,0,0,0,0,0.4930717814364631,0.6090069771712802,0.369667484998771,0.0,0.0,2026-03-09 18:50:36
custom_navigator_test_003,navigator_test_003,Agent_0,navigator:llama-3.3-70b-instruct,B,2,0,0,0,2,1,2,1,0,0,1,0,0.5624228273205227,0.6223679759256855,0.4472376659604431,129843.0,745.0,2026-03-09 18:50:36
custom_navigator_test_003,navigator_test_003,Agent_1,navigator:llama-3.3-70b-instruct,B,2,0,0,0,0,1,0,1,0,0,5,1,0.3456978967741742,0.4021369555186638,0.4257107147775136,129843.0,745.0,2026-03-09 18:50:36
custom_navigator_test_003,navigator_test_003,Agent_2,navigator:llama-3.3-70b-instruct,B,2,0,0,0,0,1,0,1,0,0,1,0,0.5720710434756472,0.7029633824156625,0.6142028701897642,129843.0,745.0,2026-03-09 18:50:36
custom_navigator_test_003,navigator_test_003,Agent_3,navigator:llama-3.3-70b-instruct,H,0,0,0,0,0,0,0,0,1,0,2,0,,,,129843.0,745.0,2026-03-09 18:50:36
custom_navigator_test_003,navigator_test_003,Agent_4,navigator:llama-3.3-70b-instruct,H,0,2,0,0,0,1,0,0,0,0,4,0,0.4121557981978343,0.4034316807665041,0.6374456571121382,129843.0,745.0,2026-03-09 18:50:36
custom_navigator_test_003,navigator_test_003,Agent_5,navigator:llama-3.3-70b-instruct,H,0,2,0,0,0,1,0,0,0,0,5,0,0.2936657273491975,0.3206956458261855,0.3093242088598492,129843.0,745.0,2026-03-09 18:50:36
custom_navigator_test_003,navigator_test_003,Agent_6,navigator:llama-3.3-70b-instruct,H,0,1,0,0,0,1,0,0,1,0,3,0,,,,129843.0,745.0,2026-03-09 18:50:36
custom_navigator_test_003,navigator_test_003,Agent_7,navigator:llama-3.3-70b-instruct,H,0,1,1,0,0,1,0,0,0,1,4,6,0.2825335279867745,0.2284842593245905,0.2974658553655888,129843.0,745.0,2026-03-09 18:50:36
custom_navigator_test_003,navigator_test_003,Agent_8,navigator:llama-3.3-70b-instruct,H,0,2,0,0,0,1,0,0,0,0,4,1,0.2504001622769265,0.2903807317116777,0.2533917335792676,129843.0,745.0,2026-03-09 18:50:36
custom_navigator_test_003,navigator_test_003,Agent_9,navigator:llama-3.3-70b-instruct,H,1,0,0,0,0,0,0,0,0,1,3,7,,,,129843.0,745.0,2026-03-09 18:50:36
custom_design_001,design_001,Agent_0,Qwen/Qwen2.5-1.5B-Instruct,B,0,0,0,0,0,1,2,1,0,0,5,0,,,,,,2026-03-09 18:50:36
custom_design_001,design_001,Agent_1,Qwen/Qwen2.5-1.5B-Instruct,H,0,0,0,0,0,0,0,0,1,0,2,0,,,,,,2026-03-09 18:50:36
custom_design_001,design_001,Agent_2,Qwen/Qwen2.5-1.5B-Instruct,H,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,2026-03-09 18:50:36
custom_design_001,design_001,Agent_3,Qwen/Qwen2.5-1.5B-Instruct,H,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,2026-03-09 18:50:36
custom_game_20260223_193110,game_20260223_193110,Agent_0,Qwen/Qwen2.5-1.5B-Instruct,B,1,0,0,0,0,5,2,1,0,0,10,0,,,,,,2026-03-09 18:50:36
custom_game_20260223_193110,game_20260223_193110,Agent_1,Qwen/Qwen2.5-1.5B-Instruct,B,1,0,0,1,0,5,4,1,0,0,10,0,,,,,,2026-03-09 18:50:36
custom_game_20260223_193110,game_20260223_193110,Agent_2,Qwen/Qwen2.5-1.5B-Instruct,H,0,1,0,0,0,5,0,0,0,0,1,0,,,,,,2026-03-09 18:50:36
custom_game_20260223_193110,game_20260223_193110,Agent_3,Qwen/Qwen2.5-1.5B-Instruct,H,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,2026-03-09 18:50:36
custom_game_20260223_193110,game_20260223_193110,Agent_4,Qwen/Qwen2.5-1.5B-Instruct,H,0,1,0,0,0,5,0,0,1,0,2,3,,,,,,2026-03-09 18:50:36
custom_game_20260223_193110,game_20260223_193110,Agent_5,Qwen/Qwen2.5-1.5B-Instruct,H,0,1,0,0,0,5,0,0,1,0,2,0,,,,,,2026-03-09 18:50:36
custom_game_20260223_193110,game_20260223_193110,Agent_6,Qwen/Qwen2.5-1.5B-Instruct,H,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,2026-03-09 18:50:36
custom_game_20260223_193110,game_20260223_193110,Agent_7,Qwen/Qwen2.5-1.5B-Instruct,H,0,1,0,0,0,5,0,0,0,0,0,3,,,,,,2026-03-09 18:50:36
custom_game_20260223_193110,game_20260223_193110,Agent_8,Qwen/Qwen2.5-1.5B-Instruct,H,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,2026-03-09 18:50:36
custom_game_20260223_193110,game_20260223_193110,Agent_9,Qwen/Qwen2.5-1.5B-Instruct,H,0,0,0,0,0,1,0,0,1,0,1,0,,,,,,2026-03-09 18:50:36
custom_official_test_006,official_test_006,Agent_0,Qwen/Qwen2.5-1.5B-Instruct,B,0,0,1,0,0,2,0,0,0,0,2,0,0.7373001689157457,0.8123748231846499,0.7566398023027909,,,2026-03-09 18:50:36
custom_official_test_006,official_test_006,Agent_1,Qwen/Qwen2.5-1.5B-Instruct,H,0,1,0,0,0,2,0,1,0,0,2,0,0.8579146423213782,0.8681761929687961,0.8745158484240296,,,2026-03-09 18:50:36
custom_official_test_006,official_test_006,Agent_2,Qwen/Qwen2.5-1.5B-Instruct,H,0,1,0,1,0,2,0,1,0,0,2,0,0.6427123369573382,0.607633214605121,0.5841691530095529,,,2026-03-09 18:50:36
custom_official_test_006,official_test_006,Agent_3,Qwen/Qwen2.5-1.5B-Instruct,H,0,0,1,0,0,2,0,1,0,0,0,2,0.7530323331065387,0.7661070444915539,0.7712333767675799,,,2026-03-09 18:50:36
custom_new_repo_test_001,new_repo_test_001,Agent_0,Qwen/Qwen2.5-1.5B-Instruct,H,0,0,0,0,0,2,0,1,1,0,2,0,,,,,,2026-03-09 18:50:36
custom_new_repo_test_001,new_repo_test_001,Agent_1,Qwen/Qwen2.5-1.5B-Instruct,H,0,0,0,0,0,2,0,1,1,0,7,0,,,,,,2026-03-09 18:50:36
custom_new_repo_test_001,new_repo_test_001,Agent_2,Qwen/Qwen2.5-1.5B-Instruct,H,1,0,0,0,0,9,0,1,0,0,0,0,,,,,,2026-03-09 18:50:36
custom_new_repo_test_001,new_repo_test_001,Agent_3,Qwen/Qwen2.5-1.5B-Instruct,B,0,1,0,0,0,5,1,0,0,1,13,5,,,,,,2026-03-09 18:50:36
custom_new_repo_test_001,new_repo_test_001,Agent_4,Qwen/Qwen2.5-1.5B-Instruct,H,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,2026-03-09 18:50:36
custom_new_repo_test_001,new_repo_test_001,Agent_5,Qwen/Qwen2.5-1.5B-Instruct,H,1,0,0,0,0,9,0,1,0,0,0,0,,,,,,2026-03-09 18:50:36
custom_new_repo_test_001,new_repo_test_001,Agent_6,Qwen/Qwen2.5-1.5B-Instruct,B,0,1,0,0,1,9,2,0,0,0,15,2,,,,,,2026-03-09 18:50:36
custom_new_repo_test_001,new_repo_test_001,Agent_7,Qwen/Qwen2.5-1.5B-Instruct,H,1,0,0,0,0,9,0,1,0,0,0,0,,,,,,2026-03-09 18:50:36
custom_new_repo_test_001,new_repo_test_001,Agent_8,Qwen/Qwen2.5-1.5B-Instruct,H,1,0,0,0,0,9,0,1,0,0,0,0,,,,,,2026-03-09 18:50:36
custom_new_repo_test_001,new_repo_test_001,Agent_9,Qwen/Qwen2.5-1.5B-Instruct,H,1,0,0,0,0,9,0,1,0,0,0,0,,,,,,2026-03-09 18:50:36
custom_game_20260222_234455,game_20260222_234455,Agent_0,Qwen/Qwen2.5-1.5B-Instruct,B,0,0,0,0,0,0,1,1,0,0,2,0,,,,,,2026-03-09 18:50:36
custom_game_20260222_234455,game_20260222_234455,Agent_1,Qwen/Qwen2.5-1.5B-Instruct,B,0,0,0,0,0,0,0,1,0,0,1,0,,,,,,2026-03-09 18:50:36
custom_game_20260222_234455,game_20260222_234455,Agent_2,Qwen/Qwen2.5-1.5B-Instruct,H,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,2026-03-09 18:50:36
custom_game_20260222_234455,game_20260222_234455,Agent_3,Qwen/Qwen2.5-1.5B-Instruct,H,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,2026-03-09 18:50:36
custom_game_20260222_234455,game_20260222_234455,Agent_4,Qwen/Qwen2.5-1.5B-Instruct,H,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,2026-03-09 18:50:36
custom_game_20260226_120230,game_20260226_120230,Agent_0,Qwen/Qwen2.5-1.5B-Instruct,B,0,0,1,0,0,0,0,0,0,1,0,4,,,,,,2026-03-09 18:50:36
custom_game_20260226_120230,game_20260226_120230,Agent_1,Qwen/Qwen2.5-1.5B-Instruct,B,1,1,0,0,1,9,2,0,0,0,22,1,0.8650190670673008,0.9134390478035888,0.9064808499238532,,,2026-03-09 18:50:36
custom_game_20260226_120230,game_20260226_120230,Agent_2,Qwen/Qwen2.5-1.5B-Instruct,H,0,1,0,0,0,1,0,1,1,0,3,0,,,,,,2026-03-09 18:50:36
custom_game_20260226_120230,game_20260226_120230,Agent_3,Qwen/Qwen2.5-1.5B-Instruct,H,1,1,0,0,0,9,0,1,0,0,2,5,0.7136742044980378,0.8533682097819963,0.7789432954517361,,,2026-03-09 18:50:36
custom_game_20260226_120230,game_20260226_120230,Agent_4,Qwen/Qwen2.5-1.5B-Instruct,H,2,0,0,0,0,9,0,1,0,0,1,2,0.8454520889071004,0.8344700348272805,0.8671082513436945,,,2026-03-09 18:50:36
custom_game_20260226_120230,game_20260226_120230,Agent_5,Qwen/Qwen2.5-1.5B-Instruct,H,0,1,0,1,0,4,0,1,1,0,1,0,,,,,,2026-03-09 18:50:36
custom_game_20260226_120230,game_20260226_120230,Agent_6,Qwen/Qwen2.5-1.5B-Instruct,H,1,1,0,0,0,9,0,1,0,0,0,0,0.6768083781542429,0.6229673045887313,0.6284579947346511,,,2026-03-09 18:50:36
custom_game_20260226_120230,game_20260226_120230,Agent_7,Qwen/Qwen2.5-1.5B-Instruct,H,0,2,0,0,0,9,0,1,0,0,0,0,0.786633356082199,0.690507973172921,0.7608421634627067,,,2026-03-09 18:50:36
custom_game_20260224_122906,game_20260224_122906,Agent_0,Qwen/Qwen2.5-1.5B-Instruct,B,0,0,1,0,1,2,3,1,0,0,2,0,,,,,,2026-03-09 18:50:36
custom_game_20260224_122906,game_20260224_122906,Agent_1,Qwen/Qwen2.5-1.5B-Instruct,B,1,0,0,0,0,2,2,1,0,0,2,1,,,,,,2026-03-09 18:50:36
custom_game_20260224_122906,game_20260224_122906,Agent_2,Qwen/Qwen2.5-1.5B-Instruct,H,1,0,0,0,0,2,0,0,0,1,5,3,,,,,,2026-03-09 18:50:36
custom_game_20260224_122906,game_20260224_122906,Agent_3,Qwen/Qwen2.5-1.5B-Instruct,H,0,0,0,0,0,2,0,0,1,0,1,0,,,,,,2026-03-09 18:50:36
custom_game_20260224_122906,game_20260224_122906,Agent_4,Qwen/Qwen2.5-1.5B-Instruct,H,0,0,0,0,0,0,0,0,1,0,3,0,,,,,,2026-03-09 18:50:36
custom_game_20260224_122906,game_20260224_122906,Agent_5,Qwen/Qwen2.5-1.5B-Instruct,H,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,2026-03-09 18:50:36
custom_game_20260224_122906,game_20260224_122906,Agent_6,Qwen/Qwen2.5-1.5B-Instruct,H,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,2026-03-09 18:50:36
custom_game_20260224_122906,game_20260224_122906,Agent_7,Qwen/Qwen2.5-1.5B-Instruct,H,0,1,0,0,0,2,0,0,0,0,2,0,,,,,,2026-03-09 18:50:36
custom_game_20260224_122906,game_20260224_122906,Agent_8,Qwen/Qwen2.5-1.5B-Instruct,H,0,1,0,0,0,2,0,0,0,0,2,0,,,,,,2026-03-09 18:50:36
custom_game_20260224_122906,game_20260224_122906,Agent_9,Qwen/Qwen2.5-1.5B-Instruct,H,0,0,0,0,0,1,0,0,1,0,2,0,,,,,,2026-03-09 18:50:36
custom_game_20260224_121558,game_20260224_121558,Agent_0,Qwen/Qwen2.5-1.5B-Instruct,B,0,0,1,0,0,0,1,0,0,1,0,3,,,,,,2026-03-09 18:50:36
custom_game_20260224_121558,game_20260224_121558,Agent_1,Qwen/Qwen2.5-1.5B-Instruct,B,0,1,0,1,0,4,1,0,0,0,12,1,,,,,,2026-03-09 18:50:36
custom_game_20260224_121558,game_20260224_121558,Agent_2,Qwen/Qwen2.5-1.5B-Instruct,H,0,1,0,0,0,4,0,1,0,0,1,0,,,,,,2026-03-09 18:50:36
custom_game_20260224_121558,game_20260224_121558,Agent_3,Qwen/Qwen2.5-1.5B-Instruct,H,1,0,0,0,0,4,0,1,0,0,0,1,,,,,,2026-03-09 18:50:36
custom_game_20260224_121558,game_20260224_121558,Agent_4,Qwen/Qwen2.5-1.5B-Instruct,H,1,0,0,0,0,4,0,1,0,0,1,0,,,,,,2026-03-09 18:50:36
